,1a dosi,,,,,,,,,,,,2a dosi,,,,,,,,,,,Total dosis,,,,,,,
,Mallorca,Menorca,Eivissa,Formentera,Illes Balears,,Mallorca,Menorca,Eivissa,Formentera,Illes Balears,,Mallorca,Menorca,Eivissa,Formentera,Illes Balears,,Mallorca,Menorca,Eivissa,Formentera,Illes Balears,Mallorca,Menorca,Eivissa,Formentera,Illes Balears,,,
03/01,1714,481,0,0,2195,03/01,"0,19","0,52","0,00","0,00","0,19",03/01,0,0,0,0,0,,,,,,,1714,481,0,0,2195,,,
04/01,2445,567,122,0,3134,04/01,"0,27","0,61","0,08","0,00","0,27",04/01,0,0,0,0,0,,,,,,,2445,567,122,0,3134,,,
05/01,3058,567,274,0,3859,05/01,"0,34","0,61","0,19","0,00","0,34",05/01,0,0,0,0,0,,,,,,,3058,567,274,0,3899,,,
06/01,3058,567,274,0,3859,06/01,"0,34","0,61","0,19","0,00","0,34",06/01,0,0,0,0,0,,,,,,,3058,567,274,0,3899,,,
07/01,3409,567,355,0,4331,07/01,"0,38","0,61","0,24","0,00","0,38",07/01,0,0,0,0,0,,,,,,,3409,567,355,0,4331,,,
08/01,3806,567,521,0,4894,08/01,"0,42","0,61","0,35","0,00","0,43",08/01,0,0,0,0,0,,,,,,,3806,567,521,0,4894,,,
09/01,3806,567,521,0,4894,09/01,"0,42","0,61","0,35","0,00","0,43",09/01,0,0,0,0,0,,,,,,,3806,567,521,0,4894,,,
10/01,3806,626,583,0,5015,10/01,"0,42","0,67","0,39","0,00","0,44",10/01,0,0,0,0,0,,,,,,,3806,626,583,0,5015,,,
11/01,3806,628,689,0,5123,11/01,"0,42","0,67","0,47","0,00","0,45",11/01,0,0,0,0,0,,,,,,,3806,628,689,0,5123,,,
12/01,3806,628,739,0,5173,12/01,"0,42","0,67","0,50","0,00","0,45",12/01,0,0,0,0,0,,,,,,,3806,628,739,0,5173,,,
13/01,6381,974,1065,0,8420,13/01,"0,71","1,04","0,72","0,00","0,73",13/01,0,0,0,0,0,,,,,,,6381,974,1065,0,8420,,,
14/01,7920,1242,1309,0,10471,14/01,"0,88","1,33","0,88","0,00","0,91",14/01,0,0,0,0,0,,,,,,,7920,1242,1309,0,10471,,,
15/01,9721,1421,1507,108,12757,15/01,"1,08","1,52","1,02","0,89","1,11",15/01,0,0,0,0,0,,,,,,,9721,1421,1507,108,12757,,,
16/01,10606,1421,1507,108,13642,16/01,"1,18","1,52","1,02","0,89","1,19",16/01,0,0,0,0,0,,,,,,,10606,1421,1507,108,13642,,,
17/01,10807,1680,1780,108,14375,17/01,"1,21","1,80","1,20","0,89","1,25",17/01,151,0,0,0,151,17/01,"0,02","0,00","0,00","0,00","0,01",10958,1680,1780,108,14526,,,
